Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
47000.  4.00   11.4   1.20e-06    3074.
n = 2971

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  7.25000000e+03  4.34541842e-04  4.34541493e-04  1.00000083e+00
  7.15000000e+03  4.45862534e-04  4.45862097e-04  1.00000095e+00
  7.05000000e+03  4.57624206e-04  4.57623712e-04  1.00000107e+00
  6.95000000e+03  4.69849561e-04  4.69849008e-04  1.00000119e+00
  6.85000000e+03  4.82562726e-04  4.82562114e-04  1.00000131e+00
  6.75000000e+03  4.95789340e-04  4.95788641e-04  1.00000143e+00
  6.72004639e+03  4.99855145e-04  4.99854446e-04  1.00000143e+00
  6.65000000e+03  5.09556674e-04  5.09555917e-04  1.00000155e+00
  6.55000000e+03  5.23893861e-04  5.23893046e-04  1.00000155e+00
  6.45000000e+03  5.38831810e-04  5.38830936e-04  1.00000155e+00
  6.35000000e+03  5.54403698e-04  5.54402766e-04  1.00000167e+00
  6.25000000e+03  5.70644799e-04  5.70643810e-04  1.00000167e+00
  6.16217920e+03  5.85489674e-04  5.85488684e-04  1.00000167e+00
  6.15000000e+03  5.87593007e-04  5.87592018e-04  1.00000167e+00
  6.05000000e+03  6.05288835e-04  6.05287845e-04  1.00000167e+00
  5.95000000e+03  6.23775763e-04  6.23774773e-04  1.00000155e+00
  5.85000000e+03  6.43100415e-04  6.43099425e-04  1.00000155e+00
  5.75000000e+03  6.63312967e-04  6.63311977e-04  1.00000155e+00
  5.68999756e+03  6.75889489e-04  6.75888499e-04  1.00000155e+00
  5.68983594e+03  6.72444759e-04  6.72443653e-04  1.00000155e+00
  5.65000000e+03  6.80972124e-04  6.80971018e-04  1.00000155e+00
  5.55000000e+03  7.03085912e-04  7.03084806e-04  1.00000155e+00
  5.45000000e+03  7.26261933e-04  7.26260885e-04  1.00000155e+00
  5.35000000e+03  7.50567880e-04  7.50566833e-04  1.00000143e+00
  5.33038721e+03  7.55473564e-04  7.55472574e-04  1.00000143e+00
  5.25000000e+03  7.76076631e-04  7.76075642e-04  1.00000131e+00
  5.15000000e+03  8.02867347e-04  8.02866358e-04  1.00000119e+00
  5.05000000e+03  8.31025362e-04  8.31024372e-04  1.00000119e+00
  5.01365576e+03  8.41615780e-04  8.41614790e-04  1.00000119e+00
  4.95000000e+03  8.60643457e-04  8.60642467e-04  1.00000107e+00
  4.85000000e+03  8.91822099e-04  8.91821110e-04  1.00000107e+00
  4.75000000e+03  9.24670487e-04  9.24669381e-04  1.00000119e+00
  4.65000000e+03  9.59307072e-04  9.59305849e-04  1.00000131e+00
  4.55000000e+03  9.95860784e-04  9.95859387e-04  1.00000155e+00
  4.48112012e+03  1.02222664e-03  1.02222501e-03  1.00000155e+00
  4.35000000e+03  1.07529305e-03  1.07529084e-03  1.00000203e+00
  4.25000000e+03  1.11849071e-03  1.11848814e-03  1.00000226e+00
  4.15000000e+03  1.16424647e-03  1.16424332e-03  1.00000274e+00
  4.05085034e+03  1.21233414e-03  1.21233030e-03  1.00000310e+00
  3.95000000e+03  1.26424467e-03  1.26424024e-03  1.00000358e+00
  3.85000000e+03  1.31894171e-03  1.31893635e-03  1.00000405e+00
  3.75000000e+03  1.37711014e-03  1.37710397e-03  1.00000441e+00
  3.69603784e+03  1.41004066e-03  1.41003402e-03  1.00000465e+00
  3.69596948e+03  1.41010515e-03  1.41009851e-03  1.00000465e+00
  3.67132788e+03  1.42552005e-03  1.42551342e-03  1.00000477e+00
  3.64707935e+03  1.44092645e-03  1.44091935e-03  1.00000489e+00
  3.64701294e+03  1.33769319e-03  1.33768981e-03  1.00000250e+00
  3.64302710e+03  1.34019763e-03  1.34019426e-03  1.00000262e+00
  3.64296069e+03  1.33082725e-03  1.33082399e-03  1.00000238e+00
  3.62000000e+03  1.34531246e-03  1.34530920e-03  1.00000238e+00
  3.61572290e+03  1.34803518e-03  1.34803203e-03  1.00000238e+00
  3.58888916e+03  1.36529421e-03  1.36529095e-03  1.00000250e+00
  3.55000000e+03  1.39086123e-03  1.39085785e-03  1.00000250e+00
  3.53639941e+03  1.39996095e-03  1.39995734e-03  1.00000250e+00
  3.48542261e+03  1.43481896e-03  1.43481512e-03  1.00000262e+00
  3.45000000e+03  1.45975943e-03  1.45975547e-03  1.00000274e+00
  3.43595386e+03  1.46981701e-03  1.46981294e-03  1.00000274e+00
  3.43589478e+03  1.46974716e-03  1.46974332e-03  1.00000274e+00
  3.39493311e+03  1.49963715e-03  1.49963296e-03  1.00000274e+00
  3.35493628e+03  1.52964750e-03  1.52964308e-03  1.00000286e+00
  3.35000000e+03  1.53340935e-03  1.53340481e-03  1.00000298e+00
  3.27770508e+03  1.59001059e-03  1.59000559e-03  1.00000322e+00
