# log10(T) rate(cm^3/s)
# Collisional Rates
2.329512893982808031e+00 2.412763424754177392e-253
2.352435530085959847e+00 9.194306602590843951e-241
2.375358166189111664e+00 7.911659038676162081e-229
2.398280802292263481e+00 1.659529356756379876e-217
2.421203438395415297e+00 9.124043641051301372e-207
2.444126074498567114e+00 1.408544761732865896e-196
2.467048710601718930e+00 6.517688409237354710e-187
2.489971346704870747e+00 9.617382082751914720e-178
2.512893982808022564e+00 4.799301856277856809e-169
2.535816618911174825e+00 8.563726080796739089e-161
2.558739255014326641e+00 5.760656896908737781e-153
2.581661891117478458e+00 1.535982470945581110e-145
2.604584527220630275e+00 1.702417633813591459e-138
2.627507163323782091e+00 8.205590645049688302e-132
2.650429799426934352e+00 1.795180293956926832e-125
2.673352435530086169e+00 1.856502316013464251e-119
2.696275071633237985e+00 9.431919442481438244e-114
2.719197707736389802e+00 2.441685195317749095e-108
2.742120343839541619e+00 3.334388343535487471e-103
2.765042979942693435e+00 2.482318843764522452e-98
2.787965616045845252e+00 1.039339896934216734e-93
2.810888252148997069e+00 2.520946442378799843e-89
2.833810888252148885e+00 3.643026462795250440e-85
2.856733524355300702e+00 3.221170744818960188e-81
2.879656160458452518e+00 1.787242357745281998e-77
2.902578796561604335e+00 6.373428301822429135e-74
2.925501432664756152e+00 1.494340183862092930e-70
2.948424068767907968e+00 2.353812750133823811e-67
2.971346704871059785e+00 2.542251062881391771e-64
2.994269340974212046e+00 1.919598930591375073e-61
3.017191977077363862e+00 1.032134827763570861e-58
3.040114613180515679e+00 4.021367223529601184e-56
3.063037249283667496e+00 1.154277364923461781e-53
3.085959885386819312e+00 2.479498588888533013e-51
3.108882521489971129e+00 4.045779556144592866e-49
3.131805157593122946e+00 5.085808600910294743e-47
3.154727793696275207e+00 4.991792248279240037e-45
3.177650429799427023e+00 3.874463976167967797e-43
3.200573065902578840e+00 2.406918669974533215e-41
3.223495702005730656e+00 1.210521729165203784e-39
3.246418338108882473e+00 4.982604552092529961e-38
3.269340974212034290e+00 1.695828287251393703e-36
3.292263610315186106e+00 4.819345790135028028e-35
3.315186246418337923e+00 1.154240197146709081e-33
3.338108882521489740e+00 2.350285164539878364e-32
3.361031518624641556e+00 4.102791322513504142e-31
3.383954154727793817e+00 6.188779943019473208e-30
3.406876790830945634e+00 8.127429659457659382e-29
3.429799426934097450e+00 9.358634301529667299e-28
3.452722063037249267e+00 9.512893923442286143e-27
3.475644699140401084e+00 8.590790334266217208e-26
3.498567335243552900e+00 6.934426613233197918e-25
3.521489971346704717e+00 5.032066207942404598e-24
3.544412607449856534e+00 3.300757268108605643e-23
3.567335243553008350e+00 1.967269022985679043e-22
3.590257879656160167e+00 1.070614229932768529e-21
3.613180515759312428e+00 5.345006431762593603e-21
3.636103151862464244e+00 2.458853693575576180e-20
3.659025787965616061e+00 1.046674076733925983e-19
3.681948424068767878e+00 4.139201975978970581e-19
3.704871060171919694e+00 1.526483210160058727e-18
3.727793696275071511e+00 5.268634627842154983e-18
3.750716332378223328e+00 1.707717442888600868e-17
3.773638968481375144e+00 5.214973822595306148e-17
3.796561604584526961e+00 1.505018326769179294e-16
3.819484240687678778e+00 4.116737277690388041e-16
3.842406876790831038e+00 1.070263452248381307e-15
3.865329512893982855e+00 2.651541899083176925e-15
3.888252148997134672e+00 6.275720908057546751e-15
3.911174785100286488e+00 1.422391728108622034e-14
3.934097421203438305e+00 3.094192593135526679e-14
3.957020057306590122e+00 6.474121856306751280e-14
3.979942693409741938e+00 1.305587658964741191e-13
4.002865329512893311e+00 2.542528087547581342e-13
4.025787965616045128e+00 4.790291812253630651e-13
4.048710601719197832e+00 8.746972794657272370e-13
4.071633237822349649e+00 1.550521283554456396e-12
4.094555873925501466e+00 2.672430001974837726e-12
4.117478510028653282e+00 4.485327505823570832e-12
4.140401146131805099e+00 7.341090496445183300e-12
4.163323782234956916e+00 1.173263129858799603e-11
4.186246418338108732e+00 1.833412782758109463e-11
4.209169054441260549e+00 2.804702424385825727e-11
4.232091690544412366e+00 4.204997861740143098e-11
4.255014326647564182e+00 6.185286515149629823e-11
4.277936962750716887e+00 8.935314435365440111e-11
4.300859598853868704e+00 1.268923651358255664e-10
4.323782234957020520e+00 1.773112236084682372e-10
4.346704871060172337e+00 2.440013777579985324e-10
4.369627507163324154e+00 3.309524043591999207e-10
4.392550143266475970e+00 4.427711281628000447e-10
4.415472779369627787e+00 5.846835379675003364e-10
4.438395415472779604e+00 7.625411375269793084e-10
4.461318051575931420e+00 9.828040859384095806e-10
4.484240687679083237e+00 1.252508409725123953e-09
4.507163323782235054e+00 1.579227498281104381e-09
4.530085959885386870e+00 1.971064173426915993e-09
