Age (s),L_FUV/M (L_sun/M_sun)
22800000.0,22.72838463472005
22900000.0,22.620971024930988
23000000.0,22.515979334701985
23100000.0,22.364859645731894
23200000.0,22.19453290785918
23300000.0,22.027020547522014
23400000.0,21.848905122977307
23500000.0,21.6662472786792
23600000.0,21.490504510243262
23700000.0,21.289924338489122
23800000.0,21.140950375083367
23900000.0,21.023516636605226
24000000.0,20.913730576056636
24100000.0,20.816934799294014
24200000.0,20.717529397946972
24300000.0,20.611843493039622
24400000.0,20.5026056719354
24500000.0,20.406143803333528
24600000.0,20.302983630721872
24700000.0,20.221872690183922
24800000.0,20.11362552593767
24900000.0,20.00255251252894
25000000.0,19.915010957932942
25100000.0,19.80966216093988
25200000.0,19.69591309770001
25300000.0,19.592788625498535
25400000.0,19.48302059477166
25500000.0,19.36992408434868
25600000.0,19.268232003502458
25700000.0,19.159845684704003
25800000.0,19.05510755527073
25900000.0,18.952541465175745
26000000.0,18.83649789334846
26100000.0,18.725935551141895
26200000.0,18.614032936871727
26300000.0,18.501667955441476
26400000.0,18.381759221158724
26500000.0,18.24663922212193
26600000.0,18.118239768489765
26700000.0,18.02407392541596
26800000.0,17.934104745344584
26900000.0,17.862794659961626
27000000.0,17.798794554621722
27100000.0,17.719900429486636
27200000.0,17.644366688084936
27300000.0,17.56380873712437
27400000.0,17.48046320618959
27500000.0,17.40219893745495
27600000.0,17.328247936620695
27700000.0,17.243261232350857
27800000.0,17.166946568957744
27900000.0,17.0859735188705
28000000.0,17.005269301964464
28100000.0,16.924341297594466
28200000.0,16.8423230716289
28300000.0,16.761098877845576
28400000.0,16.681148643026805
28500000.0,16.604637875961256
28600000.0,16.519636823198947
28700000.0,16.437503766436155
28800000.0,16.363799693225566
28900000.0,16.28783174274661
29000000.0,16.210026543290557
29100000.0,16.123952100400054
29200000.0,16.034439402807497
29300000.0,15.957000454035384
29400000.0,15.865749598866522
29500000.0,15.778104237565502
29600000.0,15.692870469745042
29700000.0,15.602604622032512
29800000.0,15.507606577767659
29900000.0,15.418982391316977
30000000.0,15.334469318137172
30100000.0,15.246943558471955
30200000.0,15.164418497662014
30300000.0,15.084954987401762
30400000.0,15.003075374962808
30500000.0,14.926505839904967
30600000.0,14.851076963886678
30700000.0,14.765472529805539
30800000.0,14.684676165573112
30900000.0,14.586624101249233
31000000.0,14.49625198554476
31100000.0,14.405958670676773
31200000.0,14.319642798620567
31300000.0,14.244386696850375
31400000.0,14.179308848390654
31500000.0,14.097915677584215
31600000.0,14.035811860514176
31700000.0,13.961389156322708
31800000.0,13.883042489938907
31900000.0,13.823036093991723
32000000.0,13.750035830433708
32100000.0,13.684670788893737
32200000.0,13.609746351276428
32300000.0,13.538229367066117
32400000.0,13.468408812586748
32500000.0,13.398732853459693
32600000.0,13.32188433631566
32700000.0,13.251000068517152
32800000.0,13.180453042980755
32900000.0,13.107124559325573
33000000.0,13.033405909217173
33100000.0,12.95399528186528
33200000.0,12.87277471138096
33300000.0,12.792234340792984
33400000.0,12.741051665037121
33500000.0,12.681509041987315
33600000.0,12.631293810474235
33700000.0,12.591893346413027
33800000.0,12.531715834653385
33900000.0,12.488265503652794
34000000.0,12.431602398397397
34100000.0,12.379938327487869
34200000.0,12.33550980566011
34300000.0,12.277126298018203
34400000.0,12.23215017422873
34500000.0,12.174844960486517
34600000.0,12.121810630700075
34700000.0,12.079397314676216
34800000.0,12.027825940255685
34900000.0,11.97937161540468
35000000.0,11.924512319518863
35100000.0,11.869726014403254
35200000.0,11.821906880508285
35300000.0,11.776242143021216
35400000.0,11.712225680480111
35500000.0,11.660361865390254
35600000.0,11.607971998919366
35700000.0,11.554593580524473
35800000.0,11.510019097010163
35900000.0,11.439804094603533
36000000.0,11.375482001258758
36100000.0,11.31977953701842
36200000.0,11.272621511132607
36300000.0,11.225843637842102
36400000.0,11.177668035537785
36500000.0,11.128196110706197
36600000.0,11.0910605143764
36700000.0,11.041675843497522
36800000.0,10.984927590431504
36900000.0,10.93487234616523
37000000.0,10.885086009083889
37100000.0,10.841521686726104
37200000.0,10.780699012512041
37300000.0,10.728374610552299
37400000.0,10.67728652438648
37500000.0,10.623109771399553
37600000.0,10.565294891421685
37700000.0,10.511010382453248
37800000.0,10.438608966213366
37900000.0,10.382006735865785
38000000.0,10.337582981425793
38100000.0,10.283944057865515
38200000.0,10.228497906067325
38300000.0,10.177410406607587
38400000.0,10.130572471764058
38500000.0,10.073617100865123
38600000.0,10.028781142481252
38700000.0,9.983819112346461
38800000.0,9.933726446976197
38900000.0,9.894205433261156
39000000.0,9.85137996852514
39100000.0,9.803872842305639
39200000.0,9.75885148913656
39300000.0,9.716099850350643
39400000.0,9.673044876224424
39500000.0,9.628340479499377
39600000.0,9.575543862287894
39700000.0,9.52090866962302
39800000.0,9.46883458247744
39900000.0,9.414676362519584
40000000.0,9.36224523708336
40100000.0,9.31824901634415
40200000.0,9.272646910747822
40300000.0,9.229763113759658
40400000.0,9.181686586753306
40500000.0,9.139701047948359
40600000.0,9.09343179330418
40700000.0,9.04816578575061
40800000.0,9.00854341348297
40900000.0,8.969698962398255
41000000.0,8.919847577182132
41100000.0,8.873146963772411
41200000.0,8.835900942207495
41300000.0,8.781965175763734
41400000.0,8.737154169696574
41500000.0,8.690408087050498
41600000.0,8.653626193105522
41700000.0,8.602467214840425
41800000.0,8.56130401932233
41900000.0,8.517418467773036
42000000.0,8.46482945130635
42100000.0,8.421541542903357
42200000.0,8.36626984152838
42300000.0,8.309905165850251
42400000.0,8.272692061106145
42500000.0,8.26416513322859
