# My Header 
#  has 3 lines 
#  Wavelenth (micron)  Kappa (m^2/kg)
6.237000000000000455e+02 8.902460053645716576e-02
6.166000000000000227e+02 9.115652197024214087e-02
6.095000000000000000e+02 9.328844340402718538e-02
6.026000000000000227e+02 9.536031071291685424e-02
5.957000000000000455e+02 9.743217802180648146e-02
5.887999999999999545e+02 9.989151010981567325e-02
5.821000000000000227e+02 1.022795572097665862e-01
5.753999999999999773e+02 1.046676043097175268e-01
5.688999999999999773e+02 1.069843664216102441e-01
5.622999999999999545e+02 1.093367710275320037e-01
5.558999999999999773e+02 1.120599248044674839e-01
5.495000000000000000e+02 1.147830785814029225e-01
5.432999999999999545e+02 1.174211338028091633e-01
5.370000000000000000e+02 1.201017383019800239e-01
5.308999999999999773e+02 1.226972442456215756e-01
5.247999999999999545e+02 1.257739009686536791e-01
5.187999999999999545e+02 1.288001206962263168e-01
5.128999999999999773e+02 1.317759034283393083e-01
5.070000000000000000e+02 1.347516861604522997e-01
5.011999999999999886e+02 1.376770318971057561e-01
4.955000000000000000e+02 1.411071307223272508e-01
4.898000000000000114e+02 1.445372295475487456e-01
4.841999999999999886e+02 1.479071512003978794e-01
4.786000000000000227e+02 1.512770728532470133e-01
4.731999999999999886e+02 1.545266401613515639e-01
4.676999999999999886e+02 1.584578467685542613e-01
4.623999999999999773e+02 1.622461004082223490e-01
4.571000000000000227e+02 1.660343540478903535e-01
4.518999999999999773e+02 1.697511312037911224e-01
4.466999999999999886e+02 1.734679083596919469e-01
4.416000000000000227e+02 1.778064315929556993e-01
4.365000000000000000e+02 1.821449548262193963e-01
4.315000000000000000e+02 1.863984089764780527e-01
4.266000000000000227e+02 1.905667940437313912e-01
4.216999999999999886e+02 1.947351791109848684e-01
4.168999999999999773e+02 1.995704164981175477e-01
4.121000000000000227e+02 2.044056538852502825e-01
4.073999999999999773e+02 2.091401571601510523e-01
4.026999999999999886e+02 2.138746604350519609e-01
3.981000000000000227e+02 2.185084295977206548e-01
3.936000000000000227e+02 2.239056634935371326e-01
3.890000000000000000e+02 2.294228359203716594e-01
3.846000000000000227e+02 2.347001312851699495e-01
3.801999999999999886e+02 2.399774266499681286e-01
3.758000000000000114e+02 2.452547220147663076e-01
3.715000000000000000e+02 2.513993721050075125e-01
3.673000000000000114e+02 2.574011233559406753e-01
3.631000000000000227e+02 2.634028746068740046e-01
3.588999999999999773e+02 2.694046258578072228e-01
3.548000000000000114e+02 2.752634782694324267e-01
3.508000000000000114e+02 2.820963997284928193e-01
3.466999999999999886e+02 2.891001442240295760e-01
3.428000000000000114e+02 2.957622426466132159e-01
3.388000000000000114e+02 3.025951641056734975e-01
3.350000000000000000e+02 3.090864394917807179e-01
3.311000000000000227e+02 3.169702775090693647e-01
