My Header
 has 3 lines r
Wavelenth (micron)  Kappa (m^2/kg)
2.977800389102914710e-02 5.091098114019963759e+03
2.950390616079906145e-02 5.045646150414849217e+03
2.923233141921496164e-02 5.000774467896488204e+03
2.896325644291158213e-02 4.956315815961872431e+03
2.869665822228788243e-02 4.912588468826814278e+03
2.843251395953940233e-02 4.869536776345340513e+03
2.817080106670869985e-02 4.827156035963354043e+03
2.791149716375387890e-02 4.790372473735936182e+03
2.765458007663464113e-02 4.753927493333986604e+03
2.740002783541624007e-02 4.718031976900525478e+03
2.714781867239066115e-02 4.682634199633776916e+03
2.689793102021522525e-02 4.647363181325524238e+03
2.665034351006826188e-02 4.609776438844839504e+03
2.640503496982179663e-02 4.572535671226619343e+03
2.616198442223105491e-02 4.535615368107925860e+03
2.592117108314056020e-02 4.499018818580145307e+03
2.568257435970690630e-02 4.463120127208283520e+03
2.544617384863766263e-02 4.431195955627992589e+03
2.521194933444673852e-02 4.399565636617593555e+03
2.497988078772558906e-02 4.369494957531029286e+03
2.474994836343047053e-02 4.340542291302892409e+03
2.452213239918540205e-02 4.312721281958582040e+03
2.429641341360076756e-02 4.292120587139655072e+03
2.407277210460739489e-02 4.271709515631670001e+03
2.385118934780592823e-02 4.270529078675907840e+03
2.363164619483150083e-02 4.280983514531832952e+03
2.341412387173330209e-02 4.303412174999514718e+03
2.319860377736923315e-02 4.406002324865469745e+03
2.298506748181519677e-02 4.507648162704160313e+03
2.277349672478910445e-02 4.549075835375765564e+03
2.256387341408937208e-02 4.461125637986851871e+03
2.235617962404778600e-02 4.371660253650004051e+03
2.215039759399662495e-02 4.269899909119209951e+03
2.194650972674983685e-02 4.169076238502666456e+03
2.174449858709831193e-02 4.110410983961936836e+03
2.154434690031884619e-02 4.073435170340027980e+03
2.134603755069698974e-02 4.038171863026694155e+03
2.114955358006338770e-02 4.009906598036245668e+03
2.095487818634361385e-02 3.981901506461268127e+03
2.076199472212138242e-02 3.962808252141487174e+03
2.057088669321495422e-02 3.947940722558774723e+03
2.038153775726667116e-02 3.935382749694779250e+03
2.019393172234541789e-02 3.932153730160850500e+03
2.000805254556206614e-02 3.928954432797970185e+03
1.982388433169749928e-02 3.903628473196796222e+03
1.964141133184343566e-02 3.869078323510645987e+03
1.946061794205562051e-02 3.833997491106868893e+03
1.928148870201951137e-02 3.796056642608909442e+03
1.910400829372818285e-02 3.758465028414711924e+03
1.892816154017245081e-02 3.722053440339746430e+03
1.875393340404299392e-02 3.686299914594942493e+03
1.858130898644450718e-02 3.652462205829477625e+03
1.841027352562161351e-02 3.624218558135203693e+03
1.824081239569650889e-02 3.596234884875573243e+03
1.807291110541829962e-02 3.583008261970946478e+03
1.790655529692377484e-02 3.574975629981833663e+03
1.774173074450960050e-02 3.562912659759328108e+03
1.757842335341585141e-02 3.538707018786934441e+03
1.741661915862070809e-02 3.514724183590025859e+03
1.725630432364622796e-02 3.495772209091981040e+03
1.709746513937519113e-02 3.478507080366868649e+03
1.694008802287872220e-02 3.458227295276556561e+03
1.678415951625481656e-02 3.429583248781609200e+03
1.662966628547747974e-02 3.401202862273999926e+03
1.647659511925648329e-02 3.377631634619127908e+03
1.632493292790762607e-02 3.355552702580517234e+03
1.617466674223337619e-02 3.333764998207933331e+03
1.602578371241385191e-02 3.312392298910981026e+03
1.587827110690793672e-02 3.291216328998159952e+03
1.573211631136462590e-02 3.270163981677184893e+03
1.558730682754426097e-02 3.249287649105354831e+03
1.544383027224980297e-02 3.228204863021807341e+03
1.530167437626788092e-02 3.206433965735863694e+03
1.516082698331960854e-02 3.184863463128924650e+03
1.502127604902105812e-02 3.163743554569216030e+03
1.488300963985329621e-02 3.142873153185403226e+03
1.474601593214191174e-02 3.122305009228083236e+03
1.461028321104590640e-02 3.102148679988997173e+03
1.447579986955596122e-02 3.082177883806944010e+03
1.434255440750181569e-02 3.061322277173539533e+03
1.421053543056890849e-02 3.040456055895389909e+03
1.407973164932396770e-02 3.020183828257308505e+03
1.395013187824961816e-02 3.000840578843226467e+03
1.382172503478787222e-02 2.981675378326548071e+03
1.369450013839241392e-02 2.968216118046355405e+03
1.356844630958961746e-02 2.955779234873577934e+03
1.344355276904818028e-02 2.949949882743887883e+03
1.331980883665738642e-02 2.955189853822325404e+03
1.319720393061375556e-02 2.960381592514726890e+03
1.307572756651620947e-02 2.933934671960119886e+03
1.295536935646946983e-02 2.903454085610395850e+03
1.283611900819577392e-02 2.880254332352909842e+03
1.271796632415472979e-02 2.868165039988546596e+03
1.260090120067130191e-02 2.856187025989560425e+03
1.248491362707177844e-02 2.844058032187817389e+03
1.236999368482776494e-02 2.836487803505857755e+03
1.225613154670798788e-02 2.844156413182078722e+03
1.214331747593791651e-02 2.854225501969125617e+03
1.203154182536717194e-02 2.864201907768013825e+03
1.192079503664453949e-02 2.971287224592529128e+03
1.181106763940060513e-02 3.270631264442210977e+03
1.170235025043790678e-02 3.339854608232066767e+03
1.159463357292855011e-02 3.156514042674550637e+03
1.148790839561917611e-02 2.973018152319214551e+03
1.138216559204331332e-02 2.931587628639360901e+03
1.127739611974091366e-02 2.899511249825002324e+03
1.117359101948509070e-02 2.889482256073262761e+03
1.107074141451600685e-02 2.905992960081612182e+03
1.096883850978177741e-02 2.922351687936363305e+03
1.086787359118636734e-02 2.878730726743773630e+03
1.076783802484442346e-02 2.833041405577982005e+03
1.066872325634296223e-02 2.787657665889347300e+03
1.057052081000983169e-02 2.742562651583030856e+03
1.047322228818895438e-02 2.697882723563603577e+03
1.037681937052217958e-02 2.702152047748370933e+03
1.028130381323781248e-02 2.707360530318407655e+03
1.018666744844562953e-02 2.708213426517864718e+03
1.009290218343843366e-02 2.704590037144464986e+03
1.000000000000000021e-02 2.701000000000000000e+03
