# My Header 
#  has 3 lines 
#  Wavelenth (micron)  Kappa (m^2/kg)
2.317000000000000171e+01 3.162214067801670936e+01
2.291000000000000014e+01 3.145235071421594242e+01
2.264999999999999858e+01 3.109546973323976715e+01
2.239000000000000057e+01 3.087834344888215199e+01
2.212999999999999901e+01 3.088393559338462424e+01
2.187999999999999901e+01 3.116258671866370378e+01
2.162999999999999901e+01 3.192847084532486690e+01
2.137999999999999901e+01 3.336567880227602245e+01
2.112999999999999901e+01 3.384817300873553592e+01
2.089000000000000057e+01 3.226782545811432357e+01
2.064999999999999858e+01 3.095854139928524162e+01
2.042000000000000171e+01 3.026460028459726104e+01
2.017999999999999972e+01 2.987839217447809048e+01
1.994999999999999929e+01 2.964178677783856841e+01
1.971999999999999886e+01 2.954295159151013905e+01
1.950000000000000000e+01 2.949164856818985925e+01
1.928000000000000114e+01 2.947881401090474185e+01
1.905000000000000071e+01 2.951301763419618140e+01
1.883999999999999986e+01 2.963748697292508183e+01
1.862000000000000099e+01 3.008719883396248918e+01
1.841000000000000014e+01 3.170572679266397387e+01
1.819999999999999929e+01 3.341628727940597798e+01
1.798999999999999844e+01 3.072761791463308612e+01
1.778000000000000114e+01 3.000719986540074302e+01
1.757999999999999829e+01 2.989551244204340819e+01
1.737999999999999901e+01 2.993074157491599152e+01
1.717999999999999972e+01 3.002875831616984215e+01
1.698000000000000043e+01 3.017935931639778602e+01
1.678999999999999915e+01 3.043236245463615219e+01
1.660000000000000142e+01 3.131265013292253485e+01
1.641000000000000014e+01 3.723706531410363141e+01
1.621999999999999886e+01 3.181065561468759384e+01
1.603000000000000114e+01 3.122635550667014925e+01
1.584999999999999964e+01 3.125471415571920630e+01
1.566999999999999993e+01 3.147638216384911303e+01
1.549000000000000021e+01 3.173199811652394331e+01
1.531000000000000050e+01 3.200289372242516350e+01
1.514000000000000057e+01 3.226753813058519427e+01
1.496000000000000085e+01 3.255375617231913310e+01
1.478999999999999915e+01 3.293337217474585543e+01
1.461999999999999922e+01 3.331909210513088482e+01
1.444999999999999929e+01 3.371142540729983494e+01
1.428999999999999915e+01 3.409021225283879630e+01
1.413000000000000078e+01 3.447883145148678352e+01
1.396000000000000085e+01 3.502095382653246958e+01
1.380000000000000071e+01 3.555321122207838158e+01
1.365000000000000036e+01 3.608385119194668533e+01
1.349000000000000021e+01 3.668296789178090478e+01
1.333999999999999986e+01 3.731686465717794476e+01
1.317999999999999972e+01 3.820601430857173852e+01
1.302999999999999936e+01 3.919721766182161815e+01
1.288000000000000078e+01 4.030423821406490958e+01
1.274000000000000021e+01 4.124327491550353386e+01
1.258999999999999986e+01 4.175378056189710207e+01
1.244999999999999929e+01 4.206600172923580061e+01
1.230000000000000071e+01 4.252617072071031146e+01
1.216000000000000014e+01 4.326900371015057090e+01
1.201999999999999957e+01 4.466147311967031897e+01
