Figure_3_star_formation_history_surface_density[28]
lookback_myr,sfr_surface_density_msun_per_myr_per_kpc2,sfr_surface_density_uncertainty_msun_per_myr_per_kpc2
44.400000000000000,677.097340140011,246.5528682542010
44.5,680.0084099706220,242.81643717872300
44.6,682.5686273751140,260.27169881275400
44.7,684.9604920272120,263.99683295886300
44.800000000000000,491.91447097013200,267.4108013394850
44.900000000000000,493.6770196054640,296.85364015922000
45.0,496.1815258495310,299.9395511068650
45.1,499.81907565104500,313.16807469479400
45.2,505.06622172937600,343.324689398186
45.300000000000000,512.4833552619860,367.91227573159700
45.400000000000000,522.7014164957220,417.07843557996200
45.5,536.3936266067390,454.6594840434920
45.6,554.2298083227180,525.3942762633750
45.7,576.8125807937410,568.3543986701630
45.800000000000000,604.5972817434090,628.3377618158740
45.900000000000000,637.8007401114850,700.586680667752
46.0,676.3076483150450,759.6963099219700
46.1,870.0284563565700,798.4467146151930
46.2,929.391905107798,797.9407755040070
46.300000000000000,993.4739201004500,831.871455330495
46.400000000000000,1489.0659195188400,841.0975489138740
46.5,1584.1907457897000,838.8547623895970
46.6,1667.571767891510,837.0788606404390
46.7,1729.7040215512400,830.3436279776560
46.800000000000000,1262.4075713176600,806.575908159103
46.900000000000000,1283.1963862973300,804.615345045171
47.0,1308.3276492351400,786.438022023544
47.1,1297.2718108321500,761.919670440953
47.2,1244.438360249070,749.4669316701560
47.300000000000000,1200.4009499808400,688.6137414328280
47.400000000000000,1144.7272305970400,580.4238008348830
47.5,1080.7902479245200,520.029992380618
47.6,288.8412083661960,497.04255919723300
47.7,227.9519943895320,467.33099780344500
47.800000000000000,204.3628328247340,451.2937601964160
47.900000000000000,185.0627821986350,420.04086256418200
48.0,169.27999381675600,354.46039497171400
48.1,156.51101255344900,279.35760959365800
48.2,146.43249070973700,211.11870028350500
48.300000000000000,138.65373774488000,167.39813374489200
48.400000000000000,132.8707383190690,121.43361172157900
48.5,128.6012058119780,89.6097170925182
48.6,126.08734679784300,71.99131905234730
48.7,124.85564593681200,52.063130017210300
48.800000000000000,124.72030070371900,43.697015857456100
48.900000000000000,125.48915177728000,41.038024920580000
49.0,126.99747071034000,38.841462225379600
49.1,129.10641265990300,38.05034530191320
49.2,131.69390894298000,36.61988652253280
49.300000000000000,134.6530617523520,35.56618385701020
49.400000000000000,137.9008267187440,33.67029089179360
49.5,141.35357208023200,32.95190231934940
49.6,144.93047603867700,34.206196320858800
49.7,148.5504372749750,34.30851448078080
49.800000000000000,152.13001942420500,33.10061896406090
49.900000000000000,155.58248895088000,32.988488859590200
50.0,158.81792758531300,32.00986857040830
50.1,161.7443383233040,31.03898549190350
50.2,164.2696140717910,30.68931833782400
50.300000000000000,167.86557844101200,30.290895853225600
50.400000000000000,170.11824600763500,28.72809416808440
50.5,171.6624028389170,27.702254737217900
50.6,171.95168022230900,27.445501167986000
50.7,171.2769936855810,26.5262869587811
50.800000000000000,169.80360604601800,26.557900425395300
50.900000000000000,167.52303400737400,25.658205678135500
51.0,164.44839480573500,25.928642660433100
51.1,159.93351748058900,26.943929015640500
51.2,152.3410167174390,27.651125615386200
51.300000000000000,145.51535533384000,27.980987379829800
51.400000000000000,139.95195118963200,28.864142568133600
51.5,133.97618321460000,30.59696855617050
51.6,127.69715856317100,32.08109108008410
51.7,121.22802055085000,33.055275050081700
51.800000000000000,114.6819665282600,34.34761282486400
51.900000000000000,108.16856825713800,35.51191250041750
52.0,101.79060267844800,37.62988841896840
52.1,95.64155782091450,40.174560037070500
52.2,89.80392826611310,41.37453544145960
52.300000000000000,84.34528082309630,44.10316707560560
52.400000000000000,79.3162718111042,48.554229036574700
52.5,74.72936716064370,49.80165128114760
52.6,70.65411812684090,53.89468046589020
52.7,67.13231738999460,58.94927083051170
52.800000000000000,62.19096282176870,69.19218752091440
52.900000000000000,59.80966807893520,70.36119955001760
53.0,58.15259027705900,81.37249118600660
53.1,57.229940118963100,102.95094119022100
53.2,57.08619745520790,125.6233650767980
53.300000000000000,57.809620101384200,145.74681418071900
53.400000000000000,59.55276690746500,170.5457610486280
53.5,62.57267131648520,187.7386782216980
53.6,67.31132589349200,223.13759085293200
53.7,108.70400478583900,260.82556294596500
53.800000000000000,277.6104923190680,282.53891170815600
53.900000000000000,401.4239750319500,306.0418970346010
54.0,474.58600678113300,360.83742779351500
54.1,514.4725861277620,443.9513538620330
54.2,553.4447847235210,519.8402929524920
54.300000000000000,597.3408470977850,631.9429403661640
54.400000000000000,804.525864042548,704.4481753108460
54.5,1140.711265904060,859.8936714448100
54.6,1478.5439394842400,951.6455294955480
54.7,1609.9572361043600,1092.9112752007000
54.800000000000000,1747.027050398860,1184.030654821040
54.900000000000000,2368.296262870230,1294.1578976107200
55.0,3105.2707138105500,1402.2961325470700
55.1,3331.348947830720,1503.7953601398300
55.2,3548.3949805281800,1520.0163242712800
55.300000000000000,3895.4464330118300,1639.6064112237900
55.400000000000000,4072.53190828676,1670.6263987573500
55.5,4515.922075430720,1686.3178649334200
55.6,6004.678966839650,1679.8481246604100
55.7,6130.97907696929,1722.5484796961800
55.800000000000000,6214.629959521560,1751.0849868019400
55.900000000000000,6254.172521723780,1836.7469594483200
56.0,6249.48118184948,1816.2039858425800
56.1,6201.737159135180,1898.2041609590500
56.2,6113.33132578628,1883.4314822224600
56.300000000000000,4670.731534088940,1876.9276901497800
56.400000000000000,4516.476726637820,1895.7081483339100
56.5,4096.566423624190,1808.211934641620
56.6,3934.1708912413400,1782.5685544386700
56.7,2460.486730072260,1741.057648589570
56.800000000000000,2179.5214261073600,1672.0026617876300
56.900000000000000,2043.2223894381800,1531.0280519524600
57.0,1299.095755564070,1317.014657299410
57.1,1083.732831986610,1189.6640099718500
57.2,884.1803994433690,1018.6717560594100
57.300000000000000,755.0187472280050,822.8677080199050
57.400000000000000,640.3551317701080,669.4617966109160
57.5,506.56591216936400,595.2169293348970
57.6,253.99253607539700,493.55806718896000
57.7,173.76644060704100,425.0380387007880
57.800000000000000,99.2482968507948,385.66726174296000
57.900000000000000,91.30583548933200,313.83373198197900
58.0,84.41673327844570,233.02872538597200
58.1,78.40621511405970,205.63776663626500
58.2,68.4812812970637,169.48661401649600
58.300000000000000,64.16569513380830,142.77717916901800
58.400000000000000,60.350159504842200,113.47586918371900
58.5,56.96953319866030,93.22113544075610
58.6,53.97079969293690,71.28410337858220
58.7,51.31052776352550,58.128206164629300
58.800000000000000,48.952820306021900,45.22835745200670
58.900000000000000,45.374343911674700,35.945179040890500
59.0,43.56042500919660,31.97693201873080
59.1,40.554770487013500,27.950767006436000
59.2,39.21236603524840,24.185410583666100
59.300000000000000,38.04899605676950,23.209235005322
59.400000000000000,37.047685871069400,21.814030986866900
59.5,36.191946331420100,21.384737683884800
59.6,35.465241174569600,19.998079141495200
59.7,34.85049527061950,19.342027815033600
59.800000000000000,33.74865981474610,17.74958409816810
59.900000000000000,33.30808522132070,16.913457579170900
60.0,32.920286673984600,15.90446224517260
60.1,32.56386174768830,15.248544234364700
60.2,32.26316391629910,14.500840432876500
60.300000000000000,32.19427203594480,14.174728216366300
60.400000000000000,32.22609510906640,13.451315383010300
60.5,32.34993843695430,12.90202200473040
60.6,32.5507295607277,12.31393304251190
60.7,32.83564936977260,12.026752195284300
60.800000000000000,33.20000517433790,11.998339266359500
60.900000000000000,33.63974521596900,11.96263803821480
61.0,34.506532200854800,11.628295444711300
61.1,36.49680147078210,11.624976697310300
61.2,37.061492656570900,11.745486271483200
61.300000000000000,37.67253050323550,11.697768957881800
61.400000000000000,38.32601298030710,11.832288578023700
61.5,39.0182314409652,11.829478833729700
61.6,39.745189196994200,12.08230123416400
61.7,40.50256436229480,12.208539709928600
61.800000000000000,41.285693347592900,12.798916595097100
61.900000000000000,42.08957580568610,12.98250186653880
