lookback_myr,sfr_surface_density_msun_per_myr_per_kpc2,sfr_surface_density_uncertainty_msun_per_myr_per_kpc2
20.4,64.5646323612439,13.7847250664333
20.5,63.8064754277265,13.3824969210503
20.6,63.0653458820813,13.1264273761898
20.7,62.3405804767372,12.9505248402881
20.8,61.6314528227995,12.7426056407964
20.9,61.1300747709015,12.6990038925732
21.0,60.888817421107,12.6634542119877
21.1,60.6356032978939,12.3251124911825
21.2,60.369956876724,12.2169242048153
21.3,59.8937732991757,12.1173930997474
21.4,59.3266043277152,11.8494370676328
21.5,58.7678648913383,11.690313925587
21.6,58.1354528996738,11.5287386476829
21.7,57.7579346746086,11.482415658579
21.8,56.8310920580996,11.2523169175514
21.9,55.9284532574324,11.0099105061354
22.0,55.0486220350527,10.9274236774959
22.1,54.1903817256764,10.8330943348252
22.2,53.3526829555067,10.8358973381222
22.3,52.5346308779776,10.7884406464051
22.4,51.7354721281105,10.7310283933899
22.5,50.866332724299696,10.6461377738548
22.6,49.993130929839296,10.4651349155564
22.7,49.1739424433566,10.3259351892302
22.8,48.6015401399567,9.91031703204972
22.9,48.2802780242904,9.54086328293276
23.0,47.860590610154894,9.54664558055132
23.1,47.3322748393807,9.43640448330119
23.2,46.8118473932162,9.28487303710569
23.3,46.2996934647048,9.24952804460424
23.4,45.7962209359818,9.3241351696835
23.5,45.3018553674228,9.20621630032162
23.6,44.817035544586304,9.24102438802985
23.7,44.3419325043991,9.18186426241931
23.8,43.8761723956364,9.04359965923211
23.9,43.4209957164162,8.77639201289907
24.0,42.9767982159944,8.56320169498583
24.1,42.543970749047105,8.45707363008128
24.2,42.1228991312461,8.40526603607941
24.3,41.713964862856,8.47232200537392
24.4,41.3175467546547,8.35293398961255
24.5,40.9340234941634,8.34085577517875
24.6,40.5637771964046,8.2188771986123
24.7,40.2071979925989,8.2091289453717
24.8,39.8646897228951,8.22613460004734
24.9,39.5366768160742,8.15935363263783
25.0,39.223612461055296,8.00363671360672
25.1,38.9259882031126,7.89378556705879
25.2,38.6443451334476,7.91761791241724
25.3,38.3896893196956,7.82927993023968
25.4,38.2054864296913,7.75191718701043
25.5,38.0519690945684,7.71866755809049
25.6,37.917196514221,7.73664365530875
25.7,38.1267315485025,7.61361007139105
25.8,38.9972838506371,7.5006050304307
25.9,39.1261500099169,7.46216736610269
26.0,38.953000558326096,7.3930514917654
26.1,38.7724798311116,7.32468915798417
26.2,38.6181936363587,7.43914510150559
26.3,38.4803644549242,7.276404769076941
26.4,38.3148868642813,7.16475055649808
26.5,38.1108239436285,7.1109231203365
26.6,37.9132578835014,7.0122353106758
26.7,37.7220165991022,6.91336080484711
26.8,37.6955896048128,6.84599733869584
26.9,37.5578512914444,6.76366974633545
27.0,37.3637955343361,6.60602471867185
27.1,37.176350145871105,6.46773497485
27.2,36.9953735926047,6.45584100664275
27.3,36.8207445692298,6.40226106790503
27.4,36.6523625866337,6.32290291951349
27.5,36.4901482855917,6.31296036084095
27.6,36.3340434840838,6.36018372594983
27.7,36.1840109679629,6.38029246921009
27.8,36.0400340362008,6.21319996754597
27.9,35.8927773209526,6.25516584914112
28.0,35.7499907222187,6.22474555906972
28.1,36.8531925598655,6.2485404263094
28.2,36.7801695915526,6.30163358581771
28.3,36.6520839585394,6.39688886579481
28.4,36.5301988764756,6.43065842861615
28.5,36.4146045340596,6.43790824828863
28.6,36.305400308181,6.50904736659543
28.7,36.2026927660608,6.40115865736367
28.8,36.1065935813389,6.30391222833783
28.9,36.0172173821579,6.31308575866006
29.0,35.9346795499595,6.35292771861993
29.1,35.8590939886173,6.39476765670763
